id,name,SMILES,source_row,source_label
DA0001,二胺样本-001,Nc1ccc(C(=O)OCc2ccc(COC(=O)c3ccc(N)cc3)o2)cc1,2,1
DA0002,二胺样本-002,Nc1ccc(C(=O)OCc2ccc(COCc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,3,1
DA0003,二胺样本-003,Nc1ccc(C(=O)OCc2ccc(SSc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,4,1
DA0004,二胺样本-004,Nc1ccc(C(=O)OCc2ccc(CSCc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,5,1
DA0005,二胺样本-005,Nc1ccc(C(=O)OCc2ccc(Oc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,6,1
DA0006,二胺样本-006,Nc1ccc(C(=O)OCc2ccc(COCCOCc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,7,1
DA0007,二胺样本-007,Nc1ccc(C(=O)OCc2ccc(-c3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,8,1
DA0008,二胺样本-008,Nc1ccc(C(=O)OCc2ccc(C(=O)C(=O)c3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,10,1
DA0009,二胺样本-009,Nc1ccc(C(=O)OCc2ccc(C(=O)CC(=O)c3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,13,1
DA0010,二胺样本-010,Nc1ccc(C(=O)OCc2ccc(C=NN=Cc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,16,1
DA0011,二胺样本-011,Nc1ccc(C(=O)OCc2ccc(COCOCc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,17,1
DA0012,二胺样本-012,Nc1ccc(C(=O)OCc2ccc(Sc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,18,1
DA0013,二胺样本-013,Nc1ccc(C(=O)OCc2ccc(S(=O)c3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,19,1
DA0014,二胺样本-014,Nc1ccc(C(=O)OCc2ccc(S(=O)(=O)c3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,20,1
DA0015,二胺样本-015,Nc1ccc(C(=O)OCc2ccc(CNCc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,21,1
DA0016,二胺样本-016,Nc1ccc(C(=O)OCc2ccc(Pc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,22,1
DA0017,二胺样本-017,Nc1ccc(C(=O)OCc2ccc(Cc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,23,1
DA0018,二胺样本-018,Nc1ccc(C(=O)OCc2ccc(C(=O)c3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,24,1
DA0019,二胺样本-019,Nc1ccc(C(=O)OCc2ccc(C#CC#Cc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,25,1
DA0020,二胺样本-020,Nc1ccc(C(=O)OCc2ccc(-c3ccc(-c4ccc(COC(=O)c5ccc(N)cc5)o4)s3)o2)cc1,26,1
DA0021,二胺样本-021,Nc1ccc(C(=O)OCc2ccc(C=Cc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,27,1
DA0022,二胺样本-022,Nc1ccc(C(=O)OCc2ccc(C=C3CCCC(=Cc4ccc(COC(=O)c5ccc(N)cc5)o4)C3=O)o2)cc1,28,1
DA0023,二胺样本-023,Nc1ccc(C(=O)OCc2ccc(C=C3CCC(=Cc4ccc(COC(=O)c5ccc(N)cc5)o4)C3=O)o2)cc1,29,1
DA0024,二胺样本-024,Nc1ccc(C(=O)OCc2ccc(COCCCOCc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,30,1
DA0025,二胺样本-025,CN(Cc1ccc(COC(=O)c2ccc(N)cc2)o1)Cc1ccc(COC(=O)c2ccc(N)cc2)o1,31,1
DA0026,二胺样本-026,CCN(Cc1ccc(COC(=O)c2ccc(N)cc2)o1)Cc1ccc(COC(=O)c2ccc(N)cc2)o1,32,1
DA0027,二胺样本-027,CP(c1ccc(COC(=O)c2ccc(N)cc2)o1)c1ccc(COC(=O)c2ccc(N)cc2)o1,33,1
DA0028,二胺样本-028,Nc1ccc(C(=O)OCc2ccc([SiH2]c3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,34,1
DA0029,二胺样本-029,Nc1ccc(C(=O)OCc2ccc(CCc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,35,1
DA0030,二胺样本-030,Nc1ccc(C(=O)OCc2ccc(CCCc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,36,1
DA0031,二胺样本-031,CC(C)(c1ccc(COC(=O)c2ccc(N)cc2)o1)c1ccc(COC(=O)c2ccc(N)cc2)o1,37,1
DA0032,二胺样本-032,Nc1ccc(C(=O)OCc2ccc(C(=O)CCC(=O)c3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,38,1
DA0033,二胺样本-033,Nc1ccc(C(=O)OCc2ccc([PH](=O)c3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,39,1
DA0034,二胺样本-034,CP(=O)(c1ccc(COC(=O)c2ccc(N)cc2)o1)c1ccc(COC(=O)c2ccc(N)cc2)o1,40,1
DA0035,二胺样本-035,C[Si](C)(c1ccc(COC(=O)c2ccc(N)cc2)o1)c1ccc(COC(=O)c2ccc(N)cc2)o1,41,1
DA0036,二胺样本-036,CCC(CC)(c1ccc(COC(=O)c2ccc(N)cc2)o1)c1ccc(COC(=O)c2ccc(N)cc2)o1,42,1
DA0037,二胺样本-037,Nc1ccc(C(=O)OCc2ccc(-c3ccc(-c4ccc(COC(=O)c5ccc(N)cc5)o4)cc3)o2)cc1,47,1
DA0038,二胺样本-038,Nc1ccc(C(=O)OCc2ccc(-c3ccc(-c4ccc(COC(=O)c5ccc(N)cc5)o4)o3)o2)cc1,48,1
DA0039,二胺样本-039,Nc1ccc(C(=O)OCc2ccc(C(=O)C=CC(=O)c3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,49,1
DA0040,二胺样本-040,Nc1ccc(C(=O)OCc2ccc(-c3ccc(-c4ccc(-c5ccc(COC(=O)c6ccc(N)cc6)o5)cc4)cc3)o2)cc1,51,1
DA0041,二胺样本-041,Nc1ccc(C(=O)OCc2ccc(C#Cc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,52,1
DA0042,二胺样本-042,Nc1ccc(C(=O)OCc2ccc(-c3cccc(-c4ccc(COC(=O)c5ccc(N)cc5)o4)n3)o2)cc1,53,1
DA0043,二胺样本-043,Nc1ccc(C(=O)OCc2ccc(-c3ncnc(-c4ccc(COC(=O)c5ccc(N)cc5)o4)n3)o2)cc1,54,1
DA0044,二胺样本-044,C[Si](C)(O[Si](C)(C)c1ccc(COC(=O)c2ccc(N)cc2)o1)c1ccc(COC(=O)c2ccc(N)cc2)o1,55,1
DA0045,二胺样本-045,Nc1ccc(C(=O)OCc2ccc([Si](c3ccccc3)(c3ccccc3)c3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,56,1
DA0046,二胺样本-046,COB(c1ccc(COC(=O)c2ccc(N)cc2)o1)c1ccc(COC(=O)c2ccc(N)cc2)o1,57,1
DA0047,二胺样本-047,COB(OB(OC)c1ccc(COC(=O)c2ccc(N)cc2)o1)c1ccc(COC(=O)c2ccc(N)cc2)o1,58,1
DA0048,二胺样本-048,COP(=O)(c1ccc(COC(=O)c2ccc(N)cc2)o1)c1ccc(COC(=O)c2ccc(N)cc2)o1,59,1
DA0049,二胺样本-049,Nc1ccc(C(=O)OCc2ccc(Nc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,60,1
DA0050,二胺样本-050,Nc1ccc(C(=O)OCc2ccc(CNCNCc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,61,1
DA0051,二胺样本-051,Nc1ccc(C(=O)OCc2ccc(CNCCNCc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,62,1
DA0052,二胺样本-052,Nc1ccc(C(=O)OCc2ccc(CNCCCNCc3ccc(COC(=O)c4ccc(N)cc4)o3)o2)cc1,63,1
DA0053,二胺样本-053,CN(c1ccc(COC(=O)c2ccc(N)cc2)o1)c1ccc(COC(=O)c2ccc(N)cc2)o1,64,1
DA0054,二胺样本-054,CN(Cc1ccc(COC(=O)c2ccc(N)cc2)o1)CN(C)Cc1ccc(COC(=O)c2ccc(N)cc2)o1,65,1
